sentiment,review
1,"The front desk went the extra mile to make me feel comfortable and give idiot-proof directions to this tourist, but the lobby was uncomfortable."
1,"The quiet elegance of the room was comforting, although the view was low!"
1,"Very easy access wifi, convenient location, but uncomfortable rooms."
1,"No luxurious beds, but good service."
2,"We appreciate the convenience of the location, and the executive suite is perfectly designed for 2 or 3 people, but the room style is a bit old."
2,"It features a pullout sofa and a small kitchen, and the linens are top-notch."
2,"The rooms are spotless and comfy, and the buffet has many choices, but the menu is not very good."
1,"The staff is the best, although the laundry service is so slow."
2,"The view of the hotel is good, and the rooms are clear and clean, but the lounge is narrow."
1,"The location is in the middle of town, so quick to the train but far from the airport."
2,"Great staff, the best location, and the hotel style are not modern."
1,"We love the sweet cakes here, although the time service is so slow."
1,"Lovely location and the rooms are well appointed and cozy, but the bed is small, and the fridge is lacking."
2,"The staff is very welcoming, and the concierge is knowledgeable, but the check-in is delayed."
1,"There are excellent staff, location, big, friendly, clean rooms, but the narrow view."
0,"The food service was incredible, but the sushi and salad were not fresh."
1,"Great hotel to stay and visit, but the location is not convenient."
2,"The room style and staff are friendly, but the bathroom sometimes smells."
1,"The room was clean and bright, but the bed was relatively small."
2,"An excellent buffet and great staff, but the internet is not fast."
1,"Thanks to all the staff, the rooms are spacious and spotless, although the bed is uncomfortable and the shower is tiny."
2,"The restaurant has many excellent cakes and juices, but the coffee was so strong that it tasted like acid."
0,"When we arrived, the staff welcomed us and took our bags to our room; the room and bathroom were tiny."
2,"The location was terrific, and the concierge was friendly, but it was not easy to take a taxi."
2,"The check-in and check-out were very smooth and did not take long, although the computers were errors!"
1,"The grilled dishes were delicious, but the grape wine was intense."
0,"When we arrived, the staff welcomed us and took our bags to our room; the room and bathroom were tiny."
2,"The location was terrific, and the concierge was friendly, but it was not easy to take a taxi."
2,"The front desk and staff were very welcoming, and the room was small but average in NY."
0,"Sometimes it is smelled in the bathroom, and the bed should be softer, but I loved the plugs in the nightstands for my phone!"
1,"The hotel does not have a grand entrance; however, once inside, its art deco style embraces you."
1,We had to take a long time to check in but were complimentary cocktails.
0,The room was superb except for the not-good view and the dark bathroom.
1,"The rain shower is the best I have experienced, and my wife did not love the toilet due to not saving water."
1,"The location is not right in the center, but numerous choices of eating establishments are offered."
1,The beef is worth every penny and wine price is not cheap.
2,"The manager is so pleasant, kind, and helpful, the bathrooms are huge and clean, but the shower is not a rain shower."
1,"The beds are incredibly comfortable, but the room service is relatively slow."
2,"We stayed in a suite with views of the library, and the location was superb."
2,"Our suite was huge, and the bathrooms were sleek, but the toiletries were lacking."
1,"There was a kitchenette, including a dishwasher, and all non-alcoholic drinks were free without snacks."
1,"The rate was reasonable, and we were satisfied with the room service, although service time was a bit slow."
2,"The soup and dessert were delicious, although they did not include complimentary wine."
2,"The hotel style is trendy and modern, but its decor does not feel cozy, and the service is excellent."
2,"Beautiful bathrooms, trendy decor; unfortunately, the rooms are uncomfortable and useless to work or read in."
1,"There is no comfortable chair or sofa on which to sit; when in your room, only the bed and view offer any true respite."
1,"The bed is comfortable, but the view is a bit low."
1,The beautiful bathroom and the shower is black mold.
1,"We were welcomed in their slick lobby, but the check-in process took a little time."
1,Small gym but with modern equipment. Small gym but with modern equipment.
2,Cool and chic design and excellent beef but do not have a good vibe for a cocktail.
1,"The location is excellent, but you can not quickly go to the subway."
1,"There is a fold-out couch, and it was nice to have a fridge."
1,The staff was amiable but lacked towels.
2,Our room is on the 21st floor and has a fantastic view.
1,It is in a great location and has a bit small kitchenette.
1,"The room is cleaned daily, but the shower is a bit dirty."
2,"The supermarket is just over the road, and we get excellent service."
1,"The manager is great, but the relaxation service is not quite good."
2,"The supermarket is great, and we get sweet cakes."
1,"The manager is relatively slow, but the relaxation service is quite good."
1,"Our room was bigger than expected and quiet, although the view was low."
1,"We loved the linens, but the bathroom was a bit dirty."
1,"The staff is phenomenal and highly personable, although the location is not the center."
1,"The sweet cakes are delicious, but the coffee is bitter."
1,"Well furnished room including microwave, lack of parking available."
1,"Not near the airport, but a free shuttle service is provided."
1,"It is easy to have cheap cabs, and laundry service is expensive."
0,There is one washing machine but lacking a dishwasher and the room is a bit dirty.
1,The poor gym but the sports service is so good.
1,"Breakfast is pretty basic but served, beef is so delicious, but the orange juice is not fresh."
1,The payment is not reasonable although the staff is quite fast.
2,"It is a lovely hotel, the room was spotless, but the view was not good."
1,"The bed was very comfortable, although the bathroom was not clean."
1,"The staff was friendly, but the lounge was not significant."
2,"The gym is extensive, and the equipment is complete, but the sports service is not good."
1,"The location is within easy walking distance of the convention center, although it is not easy to take a taxi."
2,"The lobby is clean, and the front desk has always been friendly, but the view is pretty dark."
0,"They have a gym, but the equipment is not complete."
0,"The room is essential, and the shower is not a rain shower."
0,"The lobby is not clean, and the front desk has always been friendly, but the view is pretty dark."
2,"They have a gym, and the equipment is complete."
2,"The room is essential, and the shower is fantastic."
2,"The hotel is decent, and the rooms benefit those of us here for an extended period, but the beds are small."
1,"Although the equipment is not so new, the manager makes our stays here the best they can be."
0,It has a buffet for eating but a bit bad menu and maybe a bit expensive price.
2,"They have a convenient mini-bar, and the cocktails are fantastic, but the wine is so strong."
2,"The room is clean, and the tv is curved and new, but the shower is a bit bad."
1,"The room is a gem with old-world charm, although the lighting is dark."
2,"It is a beautifully appointed bed and a stunning location; therefore, the price is so high."
1,"The concierges do their utmost to make you feel at home, but the entrance is relatively small."
2,"It is a lovely room, the bathroom has full of amenities, but the bath is relatively tiny."
0,We have free coffee in the room but not including snacks.
2,"The doorman took my suitcase to the entrance, and the front desk staff was terrific; check-in was easy."
2,"Then, we had free coffee and sweet cakes immediately, although the computers were not a good connection."
2,"The room was big and new; it had a large sofa, and a fridge but not a dishwasher."
2,The room was comfortable and had a nice king-size bed but no soft linens.
2,The bathrooms were large by NYC standards and included nice fluffy towels but a dirty shower.
2,"The view was tranquil, so I slept well; we had delicious sweet cakes, although the coffee was so strong in the morning."
2,"It was in a great location, and the subway was around the corner but not easy to take a taxi."
2,"The room was great for traveling with two kids, and the front desk was pleasant, but housekeeping was a bit slow."
2,"What a great location,  housekeeping is so hard-working, and we have a fantastic room, but the view is low."
1,Bathrooms were an unexpected luxury; it's just a pity that the towels are tiny.
2,"Despite the rather bland entrance, the view is so beautiful."
2,"Our room was excellent, and the equipment was quite complete, although the bed was a little on the small side."
1,"The staff is wonderfully friendly and helpful, but the room service was not good."
1,The best thing is the location- a few minutes to walk from Times Square but difficult to take cabs.
2,"Our room faces the street, and the bed is comfortable."
1,"The beef is delicious, but the price is a bit high."
1,"Although we took a long time to take a taxi, it is an excellent location for theaters and even a short walk to the park."
2,"The fitness center is small, but the equipment is complete, and the sports service was fantastic."
1,"The elevator is a bit small, but the staff is all amiable."
1,"The service is fantastic, the suite was beautiful, except the bed was a bit uncomfortable, and the price is relatively high."
1,The spacious bathroom does not have a bathtub for the price paid.
1,"The location is fantastic - we are there for theatres, galleries, and shopping, but we note that we have to take so long time to take a taxi."
2,"Although the view faces the street, the room was tranquil, and we slept well."
1,"The housekeeping is a bit unpolite, but the room service is good."
2,"The decor is decidedly like a corporate apartment, and the location is great."
1,"The price is among the highest in the city, and I value service, it was a lovely room, but the bed is not good."
0,"There was no internet for half the stay, and half the time I called the front desk was no answer, but I had a delicious coffee in waiting time."
0,"There is a pool, but the gym is lacking, although the rate is quite expensive."
2,"The room was pleasant, and the view was great, except for the dark decor."
0,"I could use the pool whenever during my stay, but the towels and juices were lacking."
0,"Every night, I was presented with complimentary snacks but not milk."
2,"The bathroom was pleasant, and the style was great, except for the dirty decor."
0,"I could use the gym whenever during my stay, but the equipment and water were lacking."
0,"Every morning, I was presented with complimentary sweet cakes but not including coffee."
2,"The sitting room was pleasant, and the design was great, except for the old style."
0,"I could use the fitness center during my stay, but the pool and water were lacking."
1,"Every morning, I was presented with complimentary tasty, not including apple cider."
2,"The suite was pleasant, and the building was great, except for the not-good view."
1,"I could use the mini-bar during my stay, but the wine was lacking."
1,"Every morning, I was presented with complimentary coffee, not including pastries."
2,"The hotel was pleasant, and the room style was great, except for the not-good view."
1,"I could use the lounge during my stay, but the coffee was lacking."
1,"Every morning, I was presented with complimentary pastries, not including juices."
1,"I thought the location was excellent, directly across from the library in the Bryant Park district, but it is still challenging to take a taxi."
2,The room was huge and had the best bathtub but no rain shower.
1,"The staff is relatively slow, but the room service is good."
1,"I thought the place was excellent, directly across from the library in the park district, but it is still challenging to take cabs"
2,The suite was huge and had the best shower but no bathtub.
1,"The concierge is relatively slow, but the internet is good."
1,"I thought the area was excellent, directly across from the library in the park district, but it is still challenging to take the city bus."
2,The kitchen was huge and had the best bathroom but no soft towels.
1,"The reservation manager is relatively slow, but the wifi is good."
2,"The location and service can't be beaten, but its entrance is almost hidden."
1,"The room is modern and has many windows, but the lighting is dark, with no view."
2,"Very accommodating staff and an excellent dessert, but the price were a bit high."
2,"The place and customer service can't be beaten, but its lobby is almost hidden."
0,"The suite is modern and has no windows, so the lighting is dark, and no view."
2,"Amiable manager and had excellent sushi, but the rate was a bit high."
2,"The area and loyalty program can't be beaten, but its lounge is almost hidden."
0,"The sitting room is modern and has no view, so the lighting is dark."
1,"Amiable elevator operator and had excellent salad, but the coffee was bitter."
2,"The place and wine hour can't be beaten, but its bar is almost hidden."
0,The kitchenette is modern and has no dishwasher and no iPhone sockets.
2,"Amiable housekeeping and had excellent grilled dishes, but the wine was so strong."
2,"I believe it is the best hotel because of the clean room, not crazy expensive price, and the fantastic location near all the attractions I wanted to visit."
2,"We have a bedroom, a comfortable bed, a too-small kitchenette, and a large bathroom."
2,"It has the best view and a fantastic location, but the price is high."
1,We have a bedroom and a large bathroom but no bathtub.
2,"It has the best decor style and a fantastic area, but the rate is high."
1,"We have a living room and a large bedroom, but the bed is uncomfortable."
2,"It has the best decor and a fantastic style, but the location is inconvenient."
1,"We have a sitting room and a tiny bedroom, but the bed is comfortable."
2,"It has the best building and a fantastic view, but the place is inconvenient."
1,"We have a bedroom and a tiny bathroom, but the shower is good."
2,"It has the best design and a fantastic hotel style, but the area is inconvenient."
1,"We have a living room and a tiny kitchen, but the dishwasher is good."
1,"It has the best location, but the airport is quite far."
1,"We have a good bathroom, but the shower is inconvenient."
1,"It has a romantic area, but the city bus is not accessible."
1,"We have a good bedroom, but the bed is inconvenient."
1,"There is a romantic place, but the taxi is not accessible."
1,"We have a good living room and a fantastic bedroom, but the tv is inconvenient, and the internet is not strong."
1,"There is a romantic view, but the price is not reasonable."
0,"There is a good fitness center, but the equipment is not modern, and the pool lacks."
1,"There is a romantic hotel style, but the room price is not reasonable."
0,"There is a fantastic gym, but the fold-out couch is not modern, and the seats are lacking."
1,"There is a romantic room style, but the lighting is not reasonable."
0,"There is a warm lobby, but the decor is not modern, and coffee does not offer for free."
1,"There is a romantic entrance, but the window is not reasonable."
0,"There is a warm lounge, but the seats are uncomfortable, and the internet does not offer for free."
1,"There is a fantastic room, but the view is not reasonable."
0,"There is good ice skating, but the plugs are inconvenient, and the wifi does not offer for free."
1,"There is a fantastic bedroom, but the bed is not reasonable."
1,"There is a good entrance, but the lobby seating is inconvenient."
1,"There is a fantastic bathroom, but the bathtub is a bit dirty."
2,"There is a good location, and the doorman is friendly, but the room price is high."
1,"There is a fantastic living room, but the sofa is uncomfortable."
2,"There is a good style, and the waiter is friendly, but the drink price is high."
1,"There is a fantastic sitting room, but the fridge is lacking."
2,"There is good decor, and the manager is friendly, but the wine price is high."
1,"There is a fantastic bedroom, but the bed is quite hard."
2,"There is a good decor style, and the elevator operator is friendly, but the elevator is narrow."
2,"The bedroom is good, and the view is romantic, but the bathtub is narrow."
2,"The building is modern, and the breakfast is delicious, but the customer service is poor."
2,"The living room is good, and the room style is romantic, but the window is narrow."
2,"The gym is modern, and the dinner is delicious, but the wine hour is short."
2,"The sitting room is good, and the decor is romantic, but the view is narrow."
2,"The pool is modern, and the lunch is delicious, but the shuttle service is terrible."
2,"The kitchen is good, and the fridge is modern, but the dishwasher is lacking."
2,"The fitness center is new, and the soup is delicious, but the check-in time is extended."
2,"We were unhappy with the room, but we were satisfied with the great location and the friendly staff."
0,"Our room was on the 20th floor overlooking Broadway, but the view faced the madhouse of the Fairway Market."
1,"The bedroom was quiet, with no noise from the hallway or adjoining rooms, but the window was narrow."
1,"A convenient location in Central Park, Lincoln Center, although the entrance is quite hidden."
1,"The rooms are lovely - beds not so comfortable, a great little kitchen, and not including a coffee maker."
1,The staff is so accommodating and so easy to take a taxi.
0,"We had two different rooms during our stay, and the windows were quite inconvenient."
1,"It was a nicely appointed bathroom, but the error part about it was the narrow bathtub."
1,Lemon poppy-seed pancakes are must-eats at the restaurant but do not try juices.
0,"The bed and the fold-out sofa were not comfortable, but the room was cleaned well."
1,"Wi-fi worked like a dream, but not including the iPod dock."
0,The location was convenient but not close to the subway and far from the airport.
2,"The bathroom is enormous, while the bedroom is a little small, but the shower is not a rain shower."
1,The bed is always perfect except for the no good view.
0,"we have complimentary coffee but not including snacks, and the room price is not reasonable."
1,"The room was great, and the windows were narrow."
2,"The fresh salad and the delicious coffee were always included, but the fruit was not fresh."
1,"The waiter was quite fast, although the room service was so slow."
2,"The bedroom was normal, and the decor was modern."
1,"The lemon poppy-seed pancakes were always included, but the coffee was not good."
2,"The housekeeping was quite fast, although the check-out was so slow, and the towels were comfortable."
1,"The location was quite inconvenient, although it was near the airport."
0,"The room was nicely appointed, but the bathroom and shower were terrible."
1,"There was a great pool, but it was not easy to find water."
1,"The place was quite inconvenient, although it was near the city bus."
0,"The bedroom was fantastic, but the shower and toiletries were terrible."
1,"There was a great gym, but the equipment was not modern."
2,"The area was convenient, and the view was so lovely, although it was not near the subway."
0,"The suite was fantastic, but the wardrobes and room service menu were terrible."
1,"There was a fitness center, but the equipment was not modern."
2,"The decor style was dark, and the view was so lovely, although it was near the cabs."
0,"The bedroom was fantastic, but the bed and room service was terrible."
1,"There was a large lobby, but there did not have seats."
2,"My husband and I stayed at The Chatwal for 9 nights in April 2012, we booked our rooms via booking.com, we arrived at the hotel very late at night but our check-in was very easy and just like many other reviewers we got upgraded to a suite."
2,"We fell in bad with the decor, it is just like the photos in the hotel website, the lobby smelled lovely with their signature scent, it was even lovelier when mixed with the fresh coffee smell in the morning."
2,"Beds were extremely comfortable, books in the room were a nice touch, we had two bathrooms after our upgrade which we appreciated a lot, the bathrooms were really very chic and the TOTO toilets were something!"
2,"Wonderful boutique hotel located next to Times Square, the subway is two blocks away from all of Manhattan, and numerous classic eateries are within walking distance."
2,OBathrooms are ideal with Japanese heated cleansing toilettes.
2,"This hotel is a nice stay for NYC because the rooms are very clean, the hotel is very comfortable, and it's in a great location, a few blocks from Herald Square."
2,"The staff was very nice and always accommodating, the hotel also has a great view of the Empire State Building in rooms facing 6th Ave."
2,"Very cool pic to have if you get lucky, I was extremely satisfied with my two-night's stay and would stay again."
2,"The decor style was dark, and the view was so lovely, although it was near the cabs."
2,"Not wonderful staff, beautiful hotel, incredibly comfortable rooms and for my needs terrific location."
2,"The room was immaculate and well-appointed, and the bed was a decent size."
2,"The large bathroom and the powerful shower were included, but no bathtub."
2,"In the morning, it was full of coffee but no glass for you to take out with you, and from the afternoon onwards, hot cider was available."
2,"The room was immaculate and well-appointed, and the window was a decent size."
2,"The large kitchen and the nice fridge were included, but no coffee maker."
1,"In the morning, lemon pancakes were delicious, but juices were unavailable."
2,"The bedroom was perfect, and the bed was very comfortable, but the view was narrow."
2,"The subway is right on your door, lovely fresh continental breakfast and decent coffee except for sweet cakes."
1,The doorman was great; our only problem was that the coffee maker was not working when we arrived.
2,"The living room was perfect, and the sofa was very comfortable, but the decor was old."
2,"The airport is right on your door, lovely fresh continental lunch and decent cider except for lemon pancakes."
1,The reservation manager was great; our only problem was that the washing machine was not working when we arrived.
2,"The sitting room was perfect, and the lobby seating was very comfortable, but the room style was old."
2,The cabs are right on your door; lovely fresh continental dinner and decent orange juice except for the salad.
1,The manager was great; our only problem was that the fold-out couch was not working when we arrived.
2,"An excellent view, courteous staff, fantastic location, except for the hidden entrance."
1,We can use the pool whenever but the service price is high.
2,"There is excellent decor, a courteous concierge, fantastic area, except for the hidden lobby."
1,We can use the gym whenever but the equipment is not good.
1,"There weren't any special programs for kids, but we saw other families there; a nice-sized Queen suite gave us everything we needed."
2,"The rooms were comfortable, a little tight at the bed foot but not like some complaints described, and the amenities were appreciated, energy-efficient rooms."
1,"Lovely bathrooms (although they need a hand towel holder), but really comfortable."
1,"Great room, uncomfortable bed!"
2,"Great location, just one block's walk from 72nd subway, then 5 minute's ride to Times Square and anywhere you want to go from there!"
2,"We had a room on the 24th floor with great views of the San Remo building and Central Park, but the building sways ALOT in windy weather, which was very weird at first!"
2,"There is an excellent view, a courteous elevator operator, fantastic place, except for the hidden bar."
1,We can use the bar whenever but the cocktails are not good.
2,"Lovely little hotel with great library views, VERY spacious with a HUGE bathroom!"
1,"The complimentary drinks and snacks were a plus, my only complaint was the bellman or the cab service, hopefully, this will be addressed before our next visit!"
2,"The room was very quiet, the room has a sleek modern design, and was spacious for NYC standards, I did not love the bathroom."
1,Being able to get a cold bottle of water at all times was great but it was not good with no snacks in the rooms.
1,"I also loved the overall design of the hotel, the lobby seating is not particularly comfortable or inviting."
2,"The staff was young and not as experienced, easy to find the subway and cabs, lovely pop-up stores, and wonderful ice skating for the holidays."
0,"There are a few problems that I believe can be corrected easily: one is the lack of proper lighting in the room, the architect and designers clearly were not thinking of women when they designed the rooms."
0,"Also, the fridge is quite big but has no snacks, there is no drawer space in the room, and the other problem is that the beds were not very comfortable."
